1,[25.1.2014 6:00],[25.1.2014 6:00],[25.1.2014 6:00] - [25.1.2014 18:00],Vehicle start,,,,,(no),(no),(no),(no),"Yritystie 1, Jyv?skyl? (62.2897,25.8148)",0:00:00,0:00:00,0:00:00,0.0 km,,,,0%,1
3,[25.1.2014 6:34],[25.1.2014 6:38],[25.1.2014 6:00] - [25.1.2014 12:00],Order pickup,800,43520,0,Kauppa ??nekoski,(no),(no),(no),(no),"Lentoem?nn?ntie 6, Jyv?skyl? (62.4100,25.6687)",0:04:00,0:00:00,0:38:09,22.1 km,0:04:00,0.0 km,0.0 km/h,27%,2
4,[25.1.2014 7:05],[25.1.2014 7:19],[25.1.2014 6:00] - [25.1.2014 15:00],Order delivery,800,43520,0,Kauppa ??nekoski,(no),(no),(no),(no),"Kuhnamontie 5, ??nekoski (62.5988,25.7247)",0:14:00,0:00:00,1:19:02,48.2 km,0:40:53,26.1 km,58.2 km/h,5%,3
